name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Chauncey Billups,POINT GUARD,30,DETROIT PISTONS,109,316,386,437,23,214,502,84,17,140,161,1191,2007,0.427,70,EC,7.171428571428572,3.585714285714286
Kirk Hinrich,POINT GUARD,26,CHICAGO BULLS,140,337,237,284,32,242,500,100,23,191,274,1327,2007,0.448,80,EC,6.25,2.6178010471204187
Jamaal Tinsley,POINT GUARD,28,INDIANA PACERS,61,193,172,239,60,180,494,117,25,200,190,925,2007,0.389,72,EC,6.861111111111111,2.47
Chris Paul,POINT GUARD,22,NEW ORLEANS HORNETS,92,249,332,390,62,259,925,217,4,201,185,1684,2008,0.488,80,Unknown,11.5625,4.601990049751244
Steve Nash,POINT GUARD,33,PHOENIX SUNS,179,381,222,245,28,254,898,53,5,295,113,1371,2008,,81,WC,11.08641975308642,3.0440677966101695
Deron Williams,POINT GUARD,23,UTAH JAZZ,83,210,330,411,34,209,862,90,23,279,200,1545,2008,0.507,82,WC,10.512195121951219,3.089605734767025
José Calderón,POINT GUARD,26,TORONTO RAPTORS,79,184,109,120,34,202,678,87,6,126,134,922,2008,0.519,82,EC,8.268292682926829,5.380952380952381
Baron Davis,POINT GUARD,28,GOLDEN STATE WARRIORS,173,525,318,424,96,289,623,191,43,232,247,1791,2008,0.426,82,WC,7.597560975609756,2.685344827586207
Allen Iverson,SHOOTING GUARD,32,DENVER NUGGETS,95,275,645,797,47,196,586,160,12,245,109,2164,2008,,82,WC,7.146341463414634,2.3918367346938774
Raymond Felton,POINT GUARD,23,CHARLOTTE BOBCATS,56,200,260,325,37,199,583,96,12,213,184,1140,2008,0.413,79,Unknown,7.379746835443038,2.7370892018779345
Andre Miller,POINT GUARD,31,PHILADELPHIA 76ERS,3,34,257,333,95,229,565,105,6,206,181,1398,2008,0.492,82,EC,6.890243902439025,2.7427184466019416
LeBron James,SMALL FORWARD,23,CLEVELAND CAVALIERS,113,359,549,771,133,459,539,138,81,255,165,2250,2008,0.484,75,EC,7.1866666666666665,2.1137254901960785
Earl Watson,POINT GUARD,28,SEATTLE SUPERSONICS,49,132,111,145,43,182,531,69,11,175,158,838,2008,0.454,78,Unknown,6.8076923076923075,3.0342857142857143
Chris Paul,POINT GUARD,23,NEW ORLEANS HORNETS,64,176,455,524,69,363,861,216,10,231,212,1781,2009,0.503,78,Unknown,11.038461538461538,3.727272727272727
Deron Williams,POINT GUARD,24,UTAH JAZZ,70,226,326,384,24,171,725,73,20,228,134,1322,2009,0.471,68,WC,10.661764705882353,3.1798245614035086
Steve Nash,POINT GUARD,34,PHOENIX SUNS,108,246,196,210,19,204,717,55,10,248,108,1160,2009,,74,WC,9.68918918918919,2.8911290322580645
Jason Kidd,POINT GUARD,35,DALLAS MAVERICKS,131,323,86,105,85,415,702,160,39,185,168,731,2009,,81,WC,8.666666666666666,3.7945945945945945
Rajon Rondo,POINT GUARD,22,BOSTON CELTICS,15,48,172,268,100,316,659,149,11,209,193,953,2009,0.505,80,EC,8.2375,3.15311004784689
José Calderón,POINT GUARD,27,TORONTO RAPTORS,82,202,151,154,16,178,607,74,7,143,114,873,2009,0.497,68,EC,8.926470588235293,4.244755244755245
Dwyane Wade,SHOOTING GUARD,27,MIAMI HEAT,88,278,590,771,89,309,589,173,106,272,178,2386,2009,0.491,79,EC,7.455696202531645,2.1654411764705883
LeBron James,SMALL FORWARD,24,CLEVELAND CAVALIERS,132,384,594,762,106,507,587,137,93,241,139,2304,2009,0.489,81,EC,7.246913580246914,2.4356846473029043
Chris Duhon,POINT GUARD,26,NEW YORK KNICKS,127,325,179,209,45,201,566,72,7,221,126,880,2009,0.421,79,EC,7.1645569620253164,2.5610859728506785
Raymond Felton,POINT GUARD,24,CHARLOTTE BOBCATS,59,207,219,272,54,256,553,126,30,228,191,1162,2009,0.408,82,Unknown,6.7439024390243905,2.425438596491228
Steve Nash,POINT GUARD,35,PHOENIX SUNS,124,291,211,225,34,234,892,42,12,295,108,1333,2010,,81,WC,11.012345679012345,3.023728813559322
Deron Williams,POINT GUARD,25,UTAH JAZZ,96,259,335,418,50,253,798,96,16,252,208,1419,2010,0.469,76,WC,10.5,3.1666666666666665
Rajon Rondo,POINT GUARD,23,BOSTON CELTICS,17,80,175,282,100,260,794,189,11,246,198,1110,2010,0.508,81,EC,9.802469135802468,3.227642276422764
Jason Kidd,POINT GUARD,36,DALLAS MAVERICKS,176,414,80,99,48,397,724,145,35,195,142,824,2010,,80,WC,9.05,3.712820512820513
Russell Westbrook,POINT GUARD,21,OKLAHOMA CITY THUNDER,23,104,329,422,143,258,652,108,34,268,204,1322,2010,0.418,82,WC,7.951219512195122,2.4328358208955225
LeBron James,SMALL FORWARD,25,CLEVELAND CAVALIERS,129,387,593,773,71,483,651,125,77,261,119,2258,2010,0.503,76,EC,8.56578947368421,2.4942528735632186
Baron Davis,POINT GUARD,30,LOS ANGELES CLIPPERS,82,296,239,291,52,214,598,126,43,211,210,1145,2010,0.406,75,Unknown,7.973333333333334,2.8341232227488153
